NAME,EXP,2020 RECORD,TEAM,AGE
Lloyd Pierce,1,1-0,Atlanta Hawks,43
Brad Stevens,6,1-1,Boston Celtics,42
Kenny Atkinson,3,1-1,Brooklyn Nets,52
James Borrego,2,1-1,Charlotte Hornets,41
Jim Boylen,1,1-1,Chicago Bulls,54
John Beilein,0,0-1,Cleveland Cavaliers,66
Rick Carlisle,17,2-0,Dallas Mavericks,59
Michael Malone,6,2-0,Denver Nuggets,47
Dwane Casey,10,1-1,Detroit Pistons,62
Steve Kerr,5,0-1,Golden State Warriors,53
Mike D'Antoni,15,0-1,Houston Rockets,68
Nate McMillan,15,0-1,Indiana Pacers,54
Doc Rivers,20,2-0,LA Clippers,57
Frank Vogel,8,1-1,Los Angeles Lakers,45
Taylor Jenkins,0,0-2,Memphis Grizzlies,35
Erik Spoelstra,11,1-0,Miami Heat,48
Mike Budenholzer,6,1-0,Milwaukee Bucks,49
Ryan Saunders,1,2-0,Minnesota Timberwolves,33
Alvin Gentry,16,0-2,New Orleans Pelicans,64
David Fizdale,3,0-2,New York Knicks,45
Billy Donovan,4,0-2,Oklahoma City Thunder,54
Steve Clifford,6,1-0,Orlando Magic,57
Brett Brown,6,1-0,Philadelphia 76ers,58
Monty Williams,5,1-1,Phoenix Suns,47
Terry Stotts,11,1-1,Portland Trail Blazers,61
Luke Walton,3,0-2,Sacramento Kings,39
Gregg Popovich,23,1-0,San Antonio Spurs,70
Nick Nurse,1,1-1,Toronto Raptors,51
Quin Snyder,5,1-1,Utah Jazz,52
Scott Brooks,10,1-1,Washington Wizards,53
